cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,axis_expansion_factor,line_segment
1,compound,3.556,-0.1203149463683214,-0.1791665280092202,-0.0614633647274227,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.584,-0.1207443714094029,-0.1797916389532741,-0.0616971038655317,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.612,-0.1211656266515522,-0.1804043765870199,-0.0619268767160845,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.64,-0.1215787850394025,-0.1810048522769352,-0.06215271780187,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.668,-0.1219839195175874,-0.1815931773917143,-0.0623746616434605,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.696,-0.1223811030307399,-0.182169463302191,-0.0625927427592887,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.724,-0.1227704085234934,-0.1827338213812606,-0.0628069956657262,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.752,-0.1231519089404814,-0.1832863630037989,-0.0630174548771639,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.78,-0.1235256772263371,-0.1838271995465799,-0.0632241549060943,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.808,-0.1238917863256937,-0.1843564423881911,-0.0634271302631964,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.836,-0.1242503091831848,-0.1848742029089469,-0.0636264154574228,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.864,-0.1246013187434435,-0.1853805924907988,-0.0638220449960882,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
